Term	FDR q-val	trait_efos	trait_category	program_name	trait_reported	Lead_genes	study_id	pmid	-log10(p-value)
EFO_0004337	0.0795007293644895	EFO_0004337	biological process	39	General cognitive ability	ADAMTS9;SLC39A8;PTPRF;NMNAT2;PRKD1;NAV2;FOXN3;DCDC2;SLC22A23;FOXP1;FOXO3;LARGE1	GCST006269	PMID:29844566	1.0996288869722082
EFO_0005422	0.0940004311946385	EFO_0005422	biological process	24	Facial ageing	EFEMP1;SLC39A8;PAX3;FMN1;TRPS1;ARL15	NEALE2_1757		1.0268701542192096
EFO_0004875	0.1003239973267221	EFO_0004875	biological process	37	Highest math class taken (MTAG) [MTAG]	FOXP2;PCDH7;HMGA2;MAML3;GLI3;NTRK2;ERBB4;ZNF608;ROBO2;SEMA6D;LSAMP;MSI2;THSD7A;TENM4;AUTS2;BCL11B;FOXP1;RUNX1T1;SCMH1;AGAP1;FOXO3;EFNA5;CDH2;TLE4;KCNJ3;RARB;ROBO1;ALCAM;EXT1;GULP1;GLIS3;LRRN2;PLXNA4;ETV1;KCNIP4;ZNF521;CDH7;ASXL3;LRRC4C;FARP1;RORA;FAT3;PLXDC2;MBNL2;ST6GAL2;PLXNB2;PURG;MAGI1;AFF3;ZEB2;SDK1;LARGE1;NEGR1;AKAP6;SATB2;NEDD4L;GLCCI1;MYO16;CACNA1E;CAMK1D;MITF;SORCS3;FBXL17;DENND5B;PALM;ASTN2;WWOX;MEIS2;CAMTA1;PCDH9;KDM4C;NEFM;FOXN3;CNTN5;TCF7L2	GCST006568	PMID:30038396	0.9985951720640741
EFO_0005422	0.1099983024953318	EFO_0005422	biological process	7	Facial ageing	AKAP12	NEALE2_1757		0.9586140168654003
EFO_0004318	0.1117363192214931	EFO_0004318	biological process	37	Smoking status (ever vs never smokers)	PCDH7;MAML3;SEMA6D;NAV2;RUNX1T1;FOXO3;EFNA5;KCNJ3;RARB;PLXNA4;RASGRF2;FAM168A;LRRC4C;HS6ST3;ZEB2;SDK1;ARID5B;REV3L;FBXL17;CA10;PCDH9	GCST007327	PMID:30643258	0.951805639116213
GO_0006306	0.1125010321195607	GO_0006306	biological process	37	DNA methylation variation (age effect)	CREB5;ADGRL2;TENM4;KCND3;PARD3B;ABCA1;LRRTM4;LRP1B;ATP9A;KCNMA1;GLIS3;CTNND2;DACH1;PITPNC1;PLXNA4;FREM1;PTPRM;NOS1AP;MTUS2	GCST006660	PMID:30348214	0.9488434931812969
EFO_0008579	0.1149724833648539	EFO_0008579	biological process	37	General risk tolerance (MTAG)	FOXP2;MPPED2;PCDH7;BACH2;MAP2;SEMA6D;AUTS2;FOXP1;RUNX1T1;SCMH1;INPP4B;RARB;RASGRF2;CDH13;LRRC4C;ZEB2;AKT3;CDK19;STAG1;MSRB3;EBF1;SPRY2;SORCS3;CA10;FOXN3;TBC1D32;ZBTB20;MACROD2;SORCS2;PARP8;XKR6;KLHL29	GCST007325	PMID:30643258	0.9394060879310828
EFO_0004319	0.1165313987452315	EFO_0004319	biological process	19	Smoking cessation (MTAG)	NCAM1;SEMA6D;XYLT1	GCST007464	PMID:30643251	0.9335570406077958
EFO_0005670	0.1165389961210125	EFO_0005670	biological process	19	Age of smoking initiation (MTAG)	NTM;NCAM1;MAML3;SEMA6D;BCL11B;ZNF423;ZEB2;EFNA5;PCDH7;FBXL17;DNAJC1;AUTS2;BDNF;SORCS3;IMMP2L;MDFIC	GCST007462	PMID:30643251	0.9335287272874214
GO_0036273	0.1176538730299986	GO_0036273	biological process	19	Statin medication	MAFB;LDLR;TCF7L2;ZFPM1;HMGCR;ABCA1;NPFFR2	FINNGEN_R6_RX_STATIN		0.9293937717784742
