	Term	P-value	trait_efos	trait_category	program_name	trait_reported	Genes	study_id	pmid	-log10(p-value)
0	EFO_0004875	0.0003044572769661	EFO_0004875	biological process	36	Highest math class taken (MTAG) [MTAG]	BBX;NR2F2;PURA;RYBP;PHIP;KLF6;TEAD1;CUX1;ARID4A;SPRED1;PHF20L1;ZNF521;KLF9;TLK2;AGO2;STK24;BNIP3L;MNT;RBMS1;STK4;SMCHD1;ZSWIM6;FOXO3;NUFIP2;ETV1;JMJD1C;CTTNBP2NL;PRRC2C;CHD2;NR1D2;RORA;PTPN1;ATF7IP;ZBTB38;FOXP1;TCF7L2;GTF2I;MEIS2;FBXL5;TET2	GCST006568	PMID:30038396	3.5164736412236692
1	GO_0036273	0.0017764883074341	GO_0036273	biological process	19	Statin medication	PIR;LDLR;IRF2BP2;HMGCR;PNPLA3;LIPG;VEGFA	FINNGEN_R6_RX_STATIN		2.750437646623041
2	GO_0006306	0.0031907968795052	GO_0006306	biological process	8	DNA methylation variation (age effect)	CREB5;PTPRM;ADGRL2;PLCB1;EEA1;ENTPD1;CD82;FYN;GLIS3;DACH1;GCOM1;ATP9A;STC1	GCST006660	PMID:30348214	2.4961008413463737
3	GO_0042476	0.0035881882572167	GO_0042476	biological process	28	Primary tooth development (number of teeth)	HMGA2;ADK;CALU	GCST002031	PMID:23704328	2.445124779416804
4	EFO_0004337	0.0056429697422936	EFO_0004337	biological process	35	General cognitive ability	MEF2C;KMT2E;SYT1;JMJD1C;ADAMTS9;TANK;EXT1;NAV2;RBMS1	GCST006269	PMID:29844566	2.248492278418627
5	GO_0044691	0.0081353202302151	GO_0044691	biological process	21	Primary tooth development (time to first tooth eruption)	IGF2BP1;KCNJ2	GCST002030	PMID:23704328	2.0896253472780586
6	GO_0044691	0.0085695645439221	GO_0044691	biological process	41	Primary tooth development (time to first tooth eruption)	ADK;MSRB3	GCST002030	PMID:23704328	2.0670412458686993
7	GO_0044691	0.0110939939429593	GO_0044691	biological process	1	Primary tooth development (time to first tooth eruption)	ADK;HMGA2	GCST002030	PMID:23704328	1.9549120755709448
8	GO_0044691	0.011392933895871	GO_0044691	biological process	2	Primary tooth development (time to first tooth eruption)	BMP4;KCNJ2	GCST002030	PMID:23704328	1.9433644224783078
9	EFO_0004875	0.0166330225195457	EFO_0004875	biological process	47	Highest math class taken (MTAG) [MTAG]	MEF2C;NR2F2;CPD;UTRN;L3MBTL3;PREX1;ZNF521;RGS7BP;DUSP6;THSD7A;GCH1;EFNA5;ETV1;IRF2BP2;MARCKS;PLCB1;EXT1;LCORL;SPATS2L;NFIB;SHANK3;CREB3L1;ZEB2;RORA;INPP5D;RAPGEF4;DPYD;ATF7IP;FOXP1;GTF2I;TCF4;NFIA;MEIS2;PDIA6	GCST006568	PMID:30038396	1.7790288244854946
10	GO_0042476	0.0186167852286951	GO_0042476	biological process	21	Primary tooth development (number of teeth)	IGF2BP1;KCNJ2	GCST002031	PMID:23704328	1.7300953114307516
11	GO_0044691	0.0186176051947435	GO_0044691	biological process	28	Primary tooth development (time to first tooth eruption)	ADK;HMGA2	GCST002030	PMID:23704328	1.730076183590807
12	GO_0042476	0.0195849360013642	GO_0042476	biological process	41	Primary tooth development (number of teeth)	ADK;MSRB3	GCST002031	PMID:23704328	1.708077843278729
13	EFO_0008579	0.0198527876373827	EFO_0008579	biological process	34	General risk tolerance (MTAG)	PIGL;RGS17;NUDT12;SPRY2;NFIA;STK32C;SDCCAG8;ZBTB20	GCST007325	PMID:30643258	1.7021785029798824
14	GO_0042476	0.0207748917469469	GO_0042476	biological process	46	Primary tooth development (number of teeth)	ADK;CALU	GCST002031	PMID:23704328	1.6824612305439042
15	GO_0042476	0.0251763708215836	GO_0042476	biological process	1	Primary tooth development (number of teeth)	ADK;HMGA2	GCST002031	PMID:23704328	1.599006873344697
16	EFO_0004329	0.0358133233835199	EFO_0004329	biological process	38	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2;MRPL36	NEALE2_20412		1.4459553757165706
17	EFO_0004330	0.0380128615627246	EFO_0004330	biological process	2	Ground coffee (include espresso, filter etc) | coffee type	NEGR1;CDH13	NEALE2_1508_3		1.4200694359974497
18	GO_0006306	0.0406374562196759	GO_0006306	biological process	47	DNA methylation variation (age effect)	DPYD;PLCB1;EEA1;CD82;DACH1;TNR;SVIL;NFIA;ZNF467;ATP9A;FRY	GCST006660	PMID:30348214	1.3910734853780296
19	EFO_0004337	0.0407661281696908	EFO_0004337	biological process	36	General cognitive ability	FOXO3;JMJD1C;ATF7IP;FOXP1;RBMS1;NR1D2;TET2	GCST006269	PMID:29844566	1.3897005344244175
20	EFO_0008579	0.0469008196323168	EFO_0008579	biological process	50	General risk tolerance (MTAG)	YWHAZ;GJA1;STK24;FOXP1;CTSB;PLXNA2;TCF4;MAP2;SDCCAG8;CDH13	GCST007325	PMID:30643258	1.328819567547561
21	EFO_0005670	0.0491622058865761	EFO_0005670	biological process	47	Age of smoking initiation (MTAG)	NR2F2;TLR4;CAPZA2;FOXP1;CREB3L1;EFNA5;ZEB2;NLGN1	GCST007462	PMID:30643251	1.3083686387458202
22	EFO_0004337	0.0496715165408765	EFO_0004337	biological process	12	General cognitive ability	CSE1L;FOXP1;NAV2;RBMS1;TMEM160	GCST006269	PMID:29844566	1.3038925801843666
23	EFO_0004875	0.0508906322502527	EFO_0004875	biological process	37	Highest math class taken (MTAG) [MTAG]	MSI2;NOVA1;CD47;TEAD1;KLF9;BDNF;DUSP6;AFF3;EFNA5;OSBPL3;CRIM1;NR2F1;IRF2BP2;RARB;EXT1;NFIB;CDH2;ALCAM;CTNNAL1;DCLK1;PRKCA;PTPN1;FOXP1;CACNA2D4;BNIP3;ZNF385D;CELF2;MEIS2	GCST006568	PMID:30038396	1.2933621535462327
24	GO_0036273	0.0517002506856195	GO_0036273	biological process	18	Statin medication	MAFB;HHEX;CDKN2B;TRIB1;VEGFA	FINNGEN_R6_RX_STATIN		1.2865073510817384
25	EFO_0005422	0.0584075937089433	EFO_0005422	biological process	3	Facial ageing	AKAP12;AKAP1;SYNE2	NEALE2_1757		1.2335306855674344
26	EFO_0004330	0.0726268656341186	EFO_0004330	biological process	36	Ground coffee (include espresso, filter etc) | coffee type	JMJD1C;AHR	NEALE2_1508_3		1.138902698330408
27	EFO_0004318	0.0729290687390782	EFO_0004318	biological process	9	Smoking status (ever vs never smokers)	NOL4L;PLXNA2;NAV2;GAPVD1;GOLGA3;KLF7;LRPPRC	GCST007327	PMID:30643258	1.1370993320843592
28	GO_0036273	0.0744769432658853	GO_0036273	biological process	15	Statin medication	LDLR;NOS3;CDKN2B;TRIB1;GCKR	FINNGEN_R6_RX_STATIN		1.1279781562748454
29	EFO_0004337	0.0778316686825325	EFO_0004337	biological process	42	General cognitive ability	CSE1L;CCDC14;TMEM160;GPD2	GCST006269	PMID:29844566	1.1088436583364376
30	EFO_0005670	0.0808344633396214	EFO_0005670	biological process	16	Age of smoking initiation (MTAG)	ZNF423;SAMD8;ZBTB16;TMEM200C	GCST007462	PMID:30643251	1.0924034406218104
31	EFO_0004333	0.0869829515986263	EFO_0004333	biological process	14	Episodic memory (pairs-matching)	EML6	GCST90011295	PMID:32895543	1.060565859475383
32	EFO_0004875	0.1011109402283948	EFO_0004875	biological process	35	Highest math class taken (MTAG) [MTAG]	MEF2C;NTM;NR2F2;SYT1;PCDH9;KLF6;UTRN;CD47;PREX1;NOL4L;AGO2;RBMS1;CEP170;ZSWIM6;PTPRN2;MARCKS;JMJD1C;PLCB1;EXT1;NFIB;MBNL2;RORA;MAST4;RGS17;BACE2;PTK2;ZBTB38;ZNF385D;PDE4B;TCF4	GCST006568	PMID:30038396	0.995201851097738
33	EFO_0003940	0.1025386646756301	EFO_0003940	biological process	23	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.9891123425205606
34	EFO_0004318	0.1051027831894417	EFO_0004318	biological process	35	Smoking status (ever vs never smokers)	NOL4L;NTM;TANK;PCDH9;PLXNA2;NAV2;PDE4B	GCST007327	PMID:30643258	0.9783857834216856
35	EFO_0004354	0.107744561803524	EFO_0004354	biological process	34	Chronotype	EXD3	GCST003837	PMID:27494321	0.9676046407804384
