sample_a	sample_b	p_value	program_name
D0	sample_D1	4.949523612609185e-12	13
D0	sample_D2	0.0	13
D0	sample_D3	0.0	13
sample_D1	sample_D2	0.0	13
sample_D1	sample_D3	0.0	13
sample_D2	sample_D3	1.911152593174457e-23	13
D0	sample_D1	1.6805184418457403e-74	7
D0	sample_D2	0.0	7
D0	sample_D3	0.0	7
sample_D1	sample_D2	0.0	7
sample_D1	sample_D3	0.0	7
sample_D2	sample_D3	5.948563300095609e-71	7
D0	sample_D1	8.688001642177025e-105	4
D0	sample_D2	0.0	4
D0	sample_D3	0.0	4
sample_D1	sample_D2	0.0	4
sample_D1	sample_D3	0.0	4
sample_D2	sample_D3	4.565926932561739e-66	4
D0	sample_D1	7.659793175675117e-09	16
D0	sample_D2	0.0	16
D0	sample_D3	0.0	16
sample_D1	sample_D2	0.0	16
sample_D1	sample_D3	0.0	16
sample_D2	sample_D3	0.0	16
D0	sample_D1	2.0380939828567437e-08	0
D0	sample_D2	2.5014637800945428e-05	0
D0	sample_D3	0.0	0
sample_D1	sample_D2	2.0108881464840992e-17	0
sample_D1	sample_D3	0.0	0
sample_D2	sample_D3	0.0	0
D0	sample_D1	0.0	15
D0	sample_D2	0.0	15
D0	sample_D3	0.0	15
sample_D1	sample_D2	8.767915282922899e-82	15
sample_D1	sample_D3	1.1231372769743593e-165	15
sample_D2	sample_D3	1.2083090050624418e-07	15
D0	sample_D1	5.6299356091835995e-33	5
D0	sample_D2	0.49159367861754844	5
D0	sample_D3	0.0	5
sample_D1	sample_D2	1.8948157672251744e-22	5
sample_D1	sample_D3	0.0	5
sample_D2	sample_D3	0.0	5
D0	sample_D1	0.0	1
D0	sample_D2	0.0	1
D0	sample_D3	0.0	1
sample_D1	sample_D2	3.1501737706527824e-37	1
sample_D1	sample_D3	4.636113243350839e-160	1
sample_D2	sample_D3	2.3872274570261494e-34	1
D0	sample_D1	8.305160975418296e-05	19
D0	sample_D2	0.0	19
D0	sample_D3	6.20676899194156e-31	19
sample_D1	sample_D2	0.0	19
sample_D1	sample_D3	4.207581192929484e-08	19
sample_D2	sample_D3	0.0	19
D0	sample_D1	0.0	6
D0	sample_D2	0.0	6
D0	sample_D3	0.0	6
sample_D1	sample_D2	1.2142731245745415e-225	6
sample_D1	sample_D3	0.0	6
sample_D2	sample_D3	5.778888628721195e-05	6
D0	sample_D1	1.4420211960085899e-11	9
D0	sample_D2	0.21716215798756244	9
D0	sample_D3	0.0	9
sample_D1	sample_D2	1.8239251414295519e-06	9
sample_D1	sample_D3	0.0	9
sample_D2	sample_D3	0.0	9
D0	sample_D1	5.021326086357482e-28	14
D0	sample_D2	0.0	14
D0	sample_D3	4.660838115875539e-19	14
sample_D1	sample_D2	0.0	14
sample_D1	sample_D3	3.024010967591471e-74	14
sample_D2	sample_D3	0.0	14
D0	sample_D1	4.504734598382288e-58	2
D0	sample_D2	3.8914067890347894e-129	2
D0	sample_D3	0.0	2
sample_D1	sample_D2	2.3155610674360825e-12	2
sample_D1	sample_D3	0.0	2
sample_D2	sample_D3	0.0	2
D0	sample_D1	0.7518005001198674	12
D0	sample_D2	0.0	12
D0	sample_D3	0.0	12
sample_D1	sample_D2	0.0	12
sample_D1	sample_D3	0.0	12
sample_D2	sample_D3	0.0	12
D0	sample_D1	0.0	17
D0	sample_D2	2.1919624681094118e-237	17
D0	sample_D3	2.935167062750196e-67	17
sample_D1	sample_D2	0.0	17
sample_D1	sample_D3	0.0	17
sample_D2	sample_D3	0.0	17
D0	sample_D1	1.3583510400766985e-258	11
D0	sample_D2	1.393357962347405e-209	11
D0	sample_D3	0.0	11
sample_D1	sample_D2	0.0028134272426169615	11
sample_D1	sample_D3	0.0	11
sample_D2	sample_D3	0.0	11
D0	sample_D1	0.0	3
D0	sample_D2	0.0	3
D0	sample_D3	0.0	3
sample_D1	sample_D2	2.766891927851539e-18	3
sample_D1	sample_D3	1.937779205669371e-99	3
sample_D2	sample_D3	1.4532986298296585e-28	3
D0	sample_D1	1.6051277460217902e-07	18
D0	sample_D2	0.0	18
D0	sample_D3	5.568662821175701e-40	18
sample_D1	sample_D2	0.0	18
sample_D1	sample_D3	3.075434879343487e-08	18
sample_D2	sample_D3	0.0	18
D0	sample_D1	0.0	10
D0	sample_D2	0.0	10
D0	sample_D3	0.0	10
sample_D1	sample_D2	1.1204627314204316e-154	10
sample_D1	sample_D3	0.0	10
sample_D2	sample_D3	5.991453101806699e-16	10
D0	sample_D1	2.2984181081451268e-05	8
D0	sample_D2	2.902959453926489e-38	8
D0	sample_D3	0.0	8
sample_D1	sample_D2	7.739804602860922e-50	8
sample_D1	sample_D3	0.0	8
sample_D2	sample_D3	0.0	8
D0	sample_D1	0.0	20
D0	sample_D2	0.0	20
D0	sample_D3	0.0	20
sample_D1	sample_D2	4.232426651233564e-221	20
sample_D1	sample_D3	3.716519597395467e-291	20
sample_D2	sample_D3	0.8255624128712494	20
D0	sample_D1	0.0	24
D0	sample_D2	1.1241302736245962e-109	24
D0	sample_D3	0.0	24
sample_D1	sample_D2	0.0	24
sample_D1	sample_D3	0.0	24
sample_D2	sample_D3	8.243763645269263e-36	24
D0	sample_D1	0.0	26
D0	sample_D2	0.0	26
D0	sample_D3	0.0	26
sample_D1	sample_D2	2.239991915166388e-40	26
sample_D1	sample_D3	1.5001376599090048e-144	26
sample_D2	sample_D3	1.532207647215175e-24	26
D0	sample_D1	0.0	21
D0	sample_D2	7.468890490017119e-38	21
D0	sample_D3	1.8868247395919065e-08	21
sample_D1	sample_D2	0.0	21
sample_D1	sample_D3	0.0	21
sample_D2	sample_D3	5.001990770144457e-68	21
D0	sample_D1	0.0	25
D0	sample_D2	4.6654093337595225e-95	25
D0	sample_D3	4.045430516446055e-23	25
sample_D1	sample_D2	0.0	25
sample_D1	sample_D3	0.0	25
sample_D2	sample_D3	1.4893150117240927e-181	25
D0	sample_D1	0.4628827772821845	22
D0	sample_D2	0.0020113166205218288	22
D0	sample_D3	0.0	22
sample_D1	sample_D2	0.0009496158395785024	22
sample_D1	sample_D3	0.0	22
sample_D2	sample_D3	0.0	22
D0	sample_D1	0.0	31
D0	sample_D2	0.0	31
D0	sample_D3	0.0	31
sample_D1	sample_D2	1.1359520950554818e-119	31
sample_D1	sample_D3	0.0	31
sample_D2	sample_D3	4.3764718455747014e-52	31
D0	sample_D1	3.7432688845765734e-14	27
D0	sample_D2	2.619699979998413e-66	27
D0	sample_D3	0.0	27
sample_D1	sample_D2	9.432663868067401e-102	27
sample_D1	sample_D3	0.0	27
sample_D2	sample_D3	0.0	27
D0	sample_D1	0.0	29
D0	sample_D2	0.0	29
D0	sample_D3	0.0	29
sample_D1	sample_D2	2.736313345523307e-23	29
sample_D1	sample_D3	3.615722111173286e-136	29
sample_D2	sample_D3	1.2653360725960738e-40	29
D0	sample_D1	0.34405153571806446	23
D0	sample_D2	0.8959253421973206	23
D0	sample_D3	0.0	23
sample_D1	sample_D2	0.35177505637681883	23
sample_D1	sample_D3	0.0	23
sample_D2	sample_D3	0.0	23
D0	sample_D1	2.1902404981708457e-244	30
D0	sample_D2	0.0	30
D0	sample_D3	1.6683733289000026e-234	30
sample_D1	sample_D2	0.0	30
sample_D1	sample_D3	1.5357095059367847e-11	30
sample_D2	sample_D3	0.0	30
D0	sample_D1	0.0	33
D0	sample_D2	3.782722296699244e-34	33
D0	sample_D3	2.5546354479864094e-17	33
sample_D1	sample_D2	0.0	33
sample_D1	sample_D3	0.0	33
sample_D2	sample_D3	4.77165433839655e-81	33
D0	sample_D1	2.0012096907241684e-94	28
D0	sample_D2	0.0	28
D0	sample_D3	0.0	28
sample_D1	sample_D2	1.0527577768904291e-230	28
sample_D1	sample_D3	0.0	28
sample_D2	sample_D3	1.0939099214021805e-283	28
D0	sample_D1	1.9643936148271769e-289	34
D0	sample_D2	0.0	34
D0	sample_D3	1.7081201725000573e-34	34
sample_D1	sample_D2	0.0	34
sample_D1	sample_D3	0.0	34
sample_D2	sample_D3	0.0	34
D0	sample_D1	4.4956557994570574e-101	32
D0	sample_D2	0.0	32
D0	sample_D3	0.0	32
sample_D1	sample_D2	2.7466154727437964e-218	32
sample_D1	sample_D3	0.0	32
sample_D2	sample_D3	1.9958136738091755e-89	32
D0	sample_D1	0.0	36
D0	sample_D2	9.134870086846294e-16	36
D0	sample_D3	7.204508894449795e-15	36
sample_D1	sample_D2	0.0	36
sample_D1	sample_D3	0.0	36
sample_D2	sample_D3	0.08943273126182011	36
D0	sample_D1	0.313305208609155	37
D0	sample_D2	1.5179206578689983e-43	37
D0	sample_D3	6.352867026992579e-230	37
sample_D1	sample_D2	1.0382463205731476e-37	37
sample_D1	sample_D3	7.706831554344341e-165	37
sample_D2	sample_D3	5.3528455764905875e-36	37
D0	sample_D1	1.7498016742085858e-152	35
D0	sample_D2	0.0	35
D0	sample_D3	5.519656223806552e-228	35
sample_D1	sample_D2	0.0	35
sample_D1	sample_D3	0.9657497666990242	35
