	explained_variance_ratio_X
0	-0.06186417443812534
1	-0.061864175456808404
2	-0.06186417930754058
3	-0.06186417810160473
4	-0.061864178636473914
5	-0.061864176933969325
6	-0.06186417818486793
7	-0.061864179919792546
8	-0.0618641787558802
9	-0.06186417832368376
10	-0.061864179572439414
11	-0.06186418085274188
12	-0.06186418041435703
13	-0.06186417841787992
14	-0.061864178857858096
15	-0.06186417912974712
16	-0.061864180337078446
17	-0.061864180476023226
18	-0.06186417966737686
19	-0.06186417911075656
20	-0.061864180752412436
21	-0.06186417984530408
22	-0.0618641795994322
23	-0.061864180007955794
24	-0.061864180458682895
25	-0.06186418024678465
26	-0.061864180395477704
27	-0.061864181084108884
28	-0.0618641818377932
29	-0.06186418265372698
30	-0.061864181585151876
31	-0.06186418123601213
32	-0.06186418059749302
33	-0.061864180761637334
34	-0.0618641814654063
35	-0.06186418127410842
36	-0.061864181646893994
37	-0.06186418164112766
38	-0.06186418151656186
39	-0.06186418164159334
40	-0.06186418319031713
41	-0.06186418210646766
42	-0.061864182794942
43	-0.06186418318842474
44	-0.0618641773817779
45	-0.06186418247264876
46	-0.06186417912531883
47	-0.061864181417996614
48	-0.06186418100776689
49	-0.06186418312299733
50	-0.061864182280663184
51	-0.06186418345968483
52	-0.06186418193708598
53	-0.06186418238925154
54	-0.06186418326778489
55	-0.06186418248129701
56	-0.061864183370296845
57	-0.06186418302805902
58	-0.06186418342656583
59	-0.06186418388654932
