term	adj_pval	trait_efos	trait_category	program_name	enrichment	trait_reported	genes	study_id	pmid	-log10(adj_pval)
GO_0036273	0.020498187864296285	GO_0036273	biological process	19	8.017120706363734	Statin medication	IRF2BP2;PNPLA3;LIPG;HMGCR;LDLR;PIR;VEGFA	FINNGEN_R6_RX_STATIN		1.6882845309112127
GO_0036273	0.05746855230234733	GO_0036273	biological process	18	4.473323275270882	Statin medication	MAFB;CDKN2B;TRIB1;HHEX;VEGFA	FINNGEN_R6_RX_STATIN		1.2405697430963551
EFO_0004875	0.08667578774917437	EFO_0004875	biological process	36	1.8940448655738806	Highest math class taken (MTAG) [MTAG]	TET2;NR2F2;CTTNBP2NL;PHIP;RYBP;ZBTB38;PURA;ZSWIM6;RBMS1;ARID4A;CHD2;ATF7IP;FOXO3;RORA;NR1D2;TEAD1;TCF7L2;BBX;NUFIP2;SPRED1;ZNF521;PHF20L1;KLF9;JMJD1C	GCST006568	PMID:30038396	1.0621022025868827
GO_0006306	0.11578654351162015	GO_0006306	biological process	47	2.561764189070462	DNA methylation variation (age effect)	FRY;DACH1;NFIA;TNR;ZNF467;PLCB1;EEA1;SVIL;ATP9A	GCST006660	PMID:30348214	0.9363419105414822
EFO_0004337	0.11665630198065197	EFO_0004337	biological process	36	3.5422205787186836	General cognitive ability	TET2;RBMS1;ATF7IP;FOXO3;NR1D2;JMJD1C	GCST006269	PMID:29844566	0.933091794877135
EFO_0004337	0.13344047924152652	EFO_0004337	biological process	35	3.447393535608175	General cognitive ability	EXT1;ADAMTS9;RBMS1;KMT2E;MEF2C;JMJD1C	GCST006269	PMID:29844566	0.8747124069673023
GO_0006306	0.14498621582001964	GO_0006306	biological process	8	2.5650415312387143	DNA methylation variation (age effect)	STC1;DACH1;GCOM1;PTPRM;PLCB1;CD82;ENTPD1;ATP9A	GCST006660	PMID:30348214	0.8386732851985716
EFO_0004330	0.1454115218441049	EFO_0004330	biological process	2	13.912032732006695	Ground coffee (include espresso, filter etc) | coffee type	CDH13;NEGR1	NEALE2_1508_3		0.8374011803059552
EFO_0004330	0.15974081141611426	EFO_0004330	biological process	36	10.265920707280012	Ground coffee (include espresso, filter etc) | coffee type	AHR;JMJD1C	NEALE2_1508_3		0.7965841138646971
GO_0042476	0.22559071679995982	GO_0042476	biological process	28	14.06515580736544	Primary tooth development (number of teeth)	CALU;HMGA2	GCST002031	PMID:23704328	0.646678775812379
EFO_0005422	0.23683214065626854	EFO_0005422	biological process	36	4.210229348487924	Facial ageing	ZBTB20;MKLN1;SRPK2	NEALE2_1757		0.6255593595400817
EFO_0004333	0.24735699804985967	EFO_0004333	biological process	8	24.213008130081302	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.6066757983725872
EFO_0005422	0.2918421291527017	EFO_0005422	biological process	28	4.554678939294324	Facial ageing	BNC2;GSDMC;AKAP12	NEALE2_1757		0.534852014917274
EFO_0004333	0.31483033530659366	EFO_0004333	biological process	47	21.46265060240964	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.501923428087016
EFO_0009105	0.3266016806710761	EFO_0009105	biological process	8	13.448057813911472	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.4859815847423506
GO_0036273	0.3473502743132726	GO_0036273	biological process	29	2.770923453075042	Statin medication	HHEX;INSIG2;LDLR;PPP1R3B	FINNGEN_R6_RX_STATIN		0.4592323538136836
EFO_0004875	0.36174443678094464	EFO_0004875	biological process	35	1.325425031216982	Highest math class taken (MTAG) [MTAG]	TCF4;KLF6;EXT1;ZSWIM6;ZNF385D;RBMS1;PTPRN2;RGS17;PLCB1;CEP170;RORA;MEF2C;NTM;MARCKS;CD47;JMJD1C;PTK2;PREX1	GCST006568	PMID:30038396	0.44159813911401274
GO_0042476	0.3648215378206621	GO_0042476	biological process	21	22.875190258751903	Primary tooth development (number of teeth)	KCNJ2;IGF2BP1	GCST002031	PMID:23704328	0.43791953032017467
GO_0044691	0.3648215378206621	GO_0044691	biological process	21	38.140537798072046	Primary tooth development (time to first tooth eruption)	KCNJ2;IGF2BP1	GCST002030	PMID:23704328	0.43791953032017467
EFO_0009105	0.38616869638998996	EFO_0009105	biological process	28	13.991549295774648	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.41322293391264303
GO_0044691	0.3891911472670651	GO_0044691	biological process	28	11.446094750320102	Primary tooth development (time to first tooth eruption)	HMGA2	GCST002030	PMID:23704328	0.4098370469668658
EFO_0005670	0.3896393363206719	EFO_0005670	biological process	37	2.4359993376386817	Age of smoking initiation (MTAG)	EFNA5;TOX;FOXP1;BDNF;TLR4	GCST007462	PMID:30643251	0.40933720506694304
EFO_0009473	0.3976636076761537	EFO_0009473	biological process	8	7.115734098517456	hemolysis of donated blood (osmotic)	AQP1	GCST012135	PMID:34014839	0.40048415180659547
EFO_0004875	0.40318215446406286	EFO_0004875	biological process	47	1.4019919952954372	Highest math class taken (MTAG) [MTAG]	ZEB2;NR2F2;FOXP1;PLCB1;INPP5D;CREB3L1;LCORL;CPD;RORA;TCF4;ZNF521;NFIA;MEIS2;NFIB;MARCKS;EXT1;RGS7BP;UTRN;MEF2C;ETV1	GCST006568	PMID:30038396	0.394498698758217
EFO_0009105	0.40318215446406286	EFO_0009105	biological process	47	11.920481927710844	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.394498698758217
EFO_0004330	0.4052331730761202	EFO_0004330	biological process	35	5.398400581606689	Ground coffee (include espresso, filter etc) | coffee type	JMJD1C	NEALE2_1508_3		0.39229500977225895
EFO_0004329	0.4200778409615261	EFO_0004329	biological process	8	6.365853658536586	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.37667022682180173
EFO_0004318	0.42547738506739813	EFO_0004318	biological process	50	2.4911122397155916	Smoking status (ever vs never smokers)	DNAJC1;PDE4B;PLXNA2;NOL4L;TRIM8	GCST007327	PMID:30643258	0.3711235185440226
EFO_0009105	0.4270385584270998	EFO_0009105	biological process	37	13.373764600179694	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.36953290962113416
EFO_0004318	0.42819924348941935	EFO_0004318	biological process	36	1.938962732828231	Smoking status (ever vs never smokers)	TRIM8;REV3L;ZFHX3;FOXO3	GCST007327	PMID:30643258	0.3683541043200973
EFO_0004875	0.4293324897113263	EFO_0004875	biological process	37	1.4142023943517856	Highest math class taken (MTAG) [MTAG]	NR2F1;IRF2BP2;EFNA5;NOVA1;AFF3;KLF9;BNIP3;CDH2;ALCAM;FOXP1;BDNF;CELF2;MEIS2;CTNNAL1;DUSP6;TEAD1;CRIM1;CD47	GCST006568	PMID:30038396	0.3672062450671636
