term	adj_pval	trait_efos	trait_category	program_name	enrichment	trait_reported	genes	study_id	pmid	-log10(adj_pval)
EFO_0004875	8.188331279265335e-09	EFO_0004875	biological process	11	3.001282603493659	Highest math class taken (MTAG) [MTAG]	CRTAC1;AUTS2;DLG2;THSD7A;ZNF385D;WWOX;MAGI1;ZEB2;ETV1;RORA;DGKB;ROBO2;GLI3;KDM4C;RGS6;SPATS2L;KCNJ3;APBA1;SEMA6D;ZFPM2;SYT1;FOXP1;PLXDC2;GRIN3A;BCL11B;MDFIC;LRRC4C;PRKCA;KAT2B;HS3ST5;PCDH9;DPH6;FBXL17;NOL4;EXT1;FOXP2;PLCB1;ALCAM;CNTN5;NOVA1;FOXO3;ZNF521;PCDH7;FOXN3;CTNNA3;FAT3;GULP1;PRKN;ZSWIM6;LSAMP;CDH2;TLE4;SORCS3;DPYD;SCMH1;ROBO1;HMGA2	GCST006568	PMID:30038396	8.08680459519291
EFO_0004875	1.3037550382910756e-08	EFO_0004875	biological process	0	2.9434451533237294	Highest math class taken (MTAG) [MTAG]	LARGE1;LINGO1;SAMD12;ZNF385D;MAGI1;SDK1;ETV1;RORA;PTPRN2;DGKB;STOX2;ROBO2;KDM4C;TCF7L2;RANBP17;RORB;SPATS2L;RBFOX1;NEDD4L;ASIC2;SYT1;PCBP3;FOXP1;CALN1;OPCML;KIAA0825;PLXDC2;SLC16A12;ZNF608;NRXN1;NFIA;CACNG7;PRKCA;HS3ST5;UNC79;ASTN1;CDH4;CADM2;OTX2;CACNA2D3;BCL11A;GABRB3;FOXN3;GRIK4;RUNX1T1;GULP1;EHBP1;CAMK1D;NTM;NEGR1;ADCY2;ADCY5;IGSF21;DUSP6;ROBO1;TOX3;SHISA9;SLC22A23;CACNA1H;BRINP1	GCST006568	PMID:30038396	7.884804000254552
EFO_0004875	8.533989753208673e-08	EFO_0004875	biological process	19	2.6669809124198713	Highest math class taken (MTAG) [MTAG]	GABRA4;AUTS2;NTRK2;AGAP1;THSD7A;KCNIP4;MAGI1;TENM4;ETV1;SATB2;ASXL3;ROBO2;GLI3;TCF7L2;KCNJ3;SEMA6D;NEDD4L;KLHL29;MITF;CDH7;FOXP1;ERBB4;GLCCI1;CAMTA1;BCL11B;ZNF608;PLXNB2;MAML3;LRRC4C;FBXL17;PCDH9;FOXO3;FARP1;FOXP2;EXT1;ALCAM;PURG;ZNF521;PCDH7;GLIS3;AKAP6;FAT3;RUNX1T1;GULP1;MAML2;LSAMP;CDH2;TLE4;AFF3;EFNA5;NEGR1;SCMH1;MBNL2;ROBO1;MSI2;LRRN2;RARB;HMGA2;ST6GAL2;PLXNA4	GCST006568	PMID:30038396	7.068847882935296
EFO_0004875	4.270760197747027e-07	EFO_0004875	biological process	23	3.2118854044691334	Highest math class taken (MTAG) [MTAG]	LARGE1;POU6F2;CRTAC1;DIAPH3;AUTS2;INPP5D;AGAP1;THSD7A;WWOX;MAGI1;BNIP3;ASTN2;TCF7L2;CDH8;RGS6;RBFOX1;SYT1;PCBP3;CELF2;KIAA0825;KIAA1217;CAMTA1;SNRNP200;PLXNB2;KAT2B;OSBPL3;UNC79;CADM2;OTX2;DENND5B;FOXN3;GLIS3;MYO3B;CTNNA3;GULP1;BDNF;DCLK1;TLE4;EFNA5;SORCS3;PLCL2;PDE4D;GRID1;MSI2;GPM6A	GCST006568	PMID:30038396	6.36949481342895
EFO_0008579	4.879689368627416e-07	EFO_0008579	biological process	11	4.710813720966005	General risk tolerance (MTAG)	AUTS2;ATG10;ZEB2;CDK19;PRTG;RGS6;SEMA6D;STAG1;TSHZ2;FOXP1;AKT3;TBC1D32;LRRC4C;SNTG1;ZBTB20;FOXP2;PCDH7;FOXN3;SDCCAG8;SORCS3;DPYD;SCMH1;PARP8;XKR6	GCST007325	PMID:30643258	6.3116078234450015
EFO_0004318	1.4359803449662227e-06	EFO_0004318	biological process	16	6.136332496003654	Smoking status (ever vs never smokers)	POU6F2;ZEB2;EPHA7;SEMA6D;FAM168A;REV3L;MAML3;FBXL17;FOXO3;PCDH7;HS6ST3;LAMA2;PLPPR5;NAV2;EFNA5;NTM;NCAM1;BRINP1;PLXNA4	GCST007327	PMID:30643258	5.842851504474728
EFO_0004875	1.7132130407172608e-06	EFO_0004875	biological process	2	2.6560722561119783	Highest math class taken (MTAG) [MTAG]	LARGE1;POU6F2;DIAPH3;SAMD12;DLG2;AUTS2;AGAP1;ZNF423;WWOX;MAGI1;SDK1;TENM4;RORA;PTPRN2;ASTN2;ROBO2;STOX2;TCF7L2;RANBP17;NEDD4L;ASIC2;SYT1;FOXP1;CALN1;PLXDC2;CAMTA1;FBXL17;FAM53B;DPH6;CDH4;FARP1;CACNA2D3;PLCB1;EXT1;BCL11A;FOXN3;BRIP1;ARAP1;GRIK4;GULP1;EHBP1;PRKN;CAMK1D;MSRA;EFNA5;NTM;ADCY2;SCMH1;ROBO1;MSI2;VWA8	GCST006568	PMID:30038396	5.766188628479302
EFO_0005670	3.085423764613641e-06	EFO_0005670	biological process	22	5.857764036228163	Age of smoking initiation (MTAG)	MAP2K5;ZBTB16;FBXL17;IMMP2L;DNAJC1;AUTS2;LRRC4C;KCNJ3;FOXP2;ZNF423;NTM;ZEB2;GRIN2A;NCAM1;FOXP1;ARID5B;MAML3;MDFIC	GCST007462	PMID:30643251	5.510685179768682
EFO_0004875	4.5140821950818086e-06	EFO_0004875	biological process	27	2.3978775136049775	Highest math class taken (MTAG) [MTAG]	LARGE1;AUTS2;NTRK2;AGAP1;KCNIP4;WWOX;TENM4;SDK1;ZEB2;ETV1;RORA;ASXL3;GLI3;TCF7L2;SPATS2L;CACNA1C;PALM;SEMA6D;ZFPM2;KCNH1;MYO18B;KALRN;GLCCI1;PCDH17;ZNF608;MAML3;FBXL17;FOXO3;FARP1;FOXP2;EXT1;ALCAM;CNTN5;DENND5B;ZNF521;PCDH7;CTNNA3;RUNX1T1;FAT3;GULP1;MAML2;LSAMP;HNMT;CDH2;TLE4;AFF3;EFNA5;GRID1;MBNL2;NCAM1;SCMH1;HMGA2;RARB;MSI2;SPRED2;MEIS2	GCST006568	PMID:30038396	5.345430537295148
EFO_0004875	1.4483107394792522e-05	EFO_0004875	biological process	22	2.4964090154945553	Highest math class taken (MTAG) [MTAG]	POU6F2;CNTNAP4;AUTS2;DLG2;ZNF804A;ZNF423;WWOX;TENM4;ZEB2;RORA;ROBO2;SPATS2L;KCNJ3;SYT1;CDH7;FOXP1;PLXDC2;ZNF608;MDFIC;SNRNP200;MAML3;LRRC4C;FBXL17;DPH6;NOVA1;EXT1;FOXP2;PTCH1;ZNF521;GRIN2A;CTNNA3;FAT3;GULP1;PRKN;LSAMP;HNMT;CDH2;TLE4;KCNJ6;NTM;ACVR2A;NCAM1;PDE4D;ROBO1;MSI2;HMGA2;SLC22A23;ST6GAL2	GCST006568	PMID:30038396	4.839138248937985
