program_name	variance_explained_ratio
0	-0.061864162686711646
1	-0.061864165119799634
2	-0.06186417077850814
3	-0.061864175187026804
4	-0.061864173847267716
5	-0.06186417249441612
6	-0.06186417670063498
7	-0.06186417496566739
8	-0.061864177617957566
9	-0.061864175153221596
10	-0.061864175605265526
11	-0.06186417753782413
12	-0.06186417669164485
13	-0.061864177353162075
14	-0.06186417849815015
15	-0.061864179351219434
16	-0.061864177411373386
17	-0.06186417783777826
18	-0.061864179022703976
19	-0.06186417971908187
20	-0.06186417919938033
21	-0.061864177469538595
22	-0.06186418015289662
23	-0.06186418114784179
24	-0.06186418017468764
25	-0.0618641790934457
26	-0.06186418111460624
27	-0.061864181053948857
28	-0.06186417570292291
29	-0.061864180192441824
