Gene_set,Term,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,program_name,overlap_numerator,overlap_denominator
gs_ind_0,EFO_0000275,0.6732738750053886,0.8337136069215663,1.0757062643855098,0.42555271739177736,NR3C1;MXD1,1,2,81
gs_ind_0,EFO_0000280,0.24969308660505335,0.7399538897835028,5.427402613261693,7.530644701799208,FOXP1,1,1,10
gs_ind_0,EFO_0000284,0.03706347063377478,0.6740918721517788,9.087841982578825,29.94556089462217,EIF2S3;DNAJC1,1,2,11
gs_ind_0,EFO_0000305,0.04180009342630418,0.7155192462973246,2.679517632011694,8.50708451848302,CMSS1;FOXP1;CEBPB;KLF4;MYC;DNAJC1,1,6,90
gs_ind_0,EFO_0000319,0.8802741296379786,0.9343265541806807,0.6844144186705721,0.08727783326192033,ZPR1;SLC7A1;VEGFA,1,3,176
gs_ind_0,"EFO_0000341, EFO_0004269",0.46874098235163497,0.7530741280861127,2.3942696811093724,1.8141499639492544,NR3C1,1,1,22
gs_ind_0,EFO_0000384,0.22781293360204155,0.7399538897835028,6.066739456803603,8.974105757665122,IL21R,1,1,9
gs_ind_0,EFO_0000400,0.19608523824811636,0.7399538897835028,2.3445806143561994,3.8198043947182345,CEBPB;IGF2BP2;HMGA2,1,3,54
gs_ind_0,EFO_0000516,0.8817463489645347,0.9343265541806807,0.6954401250059188,0.08752173123455954,TES,1,1,74
gs_ind_0,"EFO_0000537, GO_0042493",0.3858265991740238,0.7399538897835028,1.8882399651630422,1.7982978753692302,SLC7A1;SYT1,1,2,47
gs_ind_0,EFO_0000612,0.8174004975939932,0.8939941861709699,0.8755428639419359,0.17653229225146574,N4BP2L2,1,1,59
gs_ind_0,EFO_0000660,0.2916191493159891,0.7399538897835028,4.482295974982346,5.52356296330744,ZBTB16,1,1,12
gs_ind_0,EFO_0000717,0.07376322129249548,0.7399538897835028,5.950084398360261,15.511245434663316,PRDX6;PXK,1,2,16
gs_ind_0,EFO_0000731,0.17696880102175114,0.7399538897835028,3.3783536724713197,5.850571496376415,SYNE1;SLC38A2,1,2,27
gs_ind_0,EFO_0001054,0.35017541278299125,0.7399538897835028,3.5534842787422996,3.7287459279687254,RIPK2,1,1,15
gs_ind_0,EFO_0001065,0.27095604820218117,0.7399538897835028,4.909844216108717,6.411267973710425,SYNE1,1,1,11
gs_ind_0,"EFO_0001360, EFO_0009518",0.10896483463426786,0.7399538897835028,3.1417926335959123,6.9645061946673135,MYC;IGF2BP2;HMGA2,1,3,41
gs_ind_0,EFO_0001365,0.35017541278299125,0.7399538897835028,3.5534842787422996,3.7287459279687254,VEGFA,1,1,15
gs_ind_0,EFO_0001645,0.43546220510899386,0.7399538897835028,1.7001315516167002,1.4133997266439184,ZPR1;VEGFA,1,2,52
gs_ind_0,EFO_0001663,0.910805667068275,0.9465870710101355,0.6124982117761901,0.05722308810866479,ZNF827;VEGFA,1,2,140
gs_ind_0,EFO_0002422,0.3312126850284827,0.7399538897835028,3.817220933230214,4.218008354077049,SYNE1,1,1,14
gs_ind_0,EFO_0002609,0.20529775995976848,0.7399538897835028,6.876566125290023,10.887624965830085,FOXP1,1,1,8
gs_ind_0,EFO_0002690,0.8592870322436971,0.91931075876072,0.7578757411704048,0.11493357337870777,ELF1,1,1,68
gs_ind_0,EFO_0003095,0.21845427104528506,0.7399538897835028,2.918691478013512,4.439850935169514,ZNF827;VEGFA,1,2,31
gs_ind_0,EFO_0003767,0.41109064262971573,0.7399538897835028,1.5130425817094546,1.3450064134485415,FOXP1;CEBPB;ERRFI1,1,3,82
gs_ind_0,EFO_0003779,0.7827961810703056,0.8795123115500345,0.9764003977461054,0.23910378246456365,VEGFA,1,1,53
gs_ind_0,EFO_0003784,0.12595794832767007,0.7399538897835028,2.4139534883720932,5.00124614807189,EZR;UBC;ERRFI1;SLC38A2,1,4,68
gs_ind_0,"EFO_0003884, EFO_0004518",0.35017541278299125,0.7399538897835028,3.5534842787422996,3.7287459279687254,VEGFA,1,1,15
gs_ind_0,"EFO_0003888, EFO_0007052, MONDO_0002491",0.6493918765723456,0.8325489969524665,0.965461241655594,0.4168078927746835,DNAJC1;MAP3K20;FOXP1;NFIB;CELF2;ZBTB16;NDUFAF2;SLC1A5,1,8,308
gs_ind_0,EFO_0003894,0.21845427104528506,0.7399538897835028,2.918691478013512,4.439850935169514,ERRFI1;FST,1,2,31
gs_ind_0,EFO_0003924,0.433843686239153,0.7399538897835028,1.4574267262791853,1.2170547641758775,EZR;SLC38A2;SGK1,1,3,85
gs_ind_0,EFO_0003948,0.8174004975939932,0.8939941861709699,0.8755428639419359,0.17653229225146574,STK24,1,1,59
gs_ind_0,EFO_0003958,0.33440589950764305,0.7399538897835028,2.1227949005726785,2.325309015825829,LURAP1L;ANKRD11,1,2,42
gs_ind_0,EFO_0004190,0.7698682033086672,0.8717184714506699,1.0153453860467254,0.26554931333424997,CELF2,1,1,51
gs_ind_0,EFO_0004193,0.43546220510899386,0.7399538897835028,1.7001315516167002,1.4133997266439184,FOXP1;JDP2,1,2,52
gs_ind_0,EFO_0004198,0.22896597754800024,0.7399538897835028,2.8226145439260195,4.161047147489857,FOXP1;JDP2,1,2,32
gs_ind_0,EFO_0004208,0.6650171195725421,0.8325489969524665,1.3697447795823665,0.5587771028132387,FOXP1,1,1,38
gs_ind_0,EFO_0004214,0.20529775995976848,0.7399538897835028,6.876566125290023,10.887624965830085,ZPR1,1,1,8
gs_ind_0,EFO_0004229,0.4208221469278008,0.7399538897835028,2.7836583683451432,2.409381550171509,DDR2,1,1,19
gs_ind_0,EFO_0004244,0.2916191493159891,0.7399538897835028,4.482295974982346,5.52356296330744,IL21R,1,1,12
gs_ind_0,EFO_0004257,0.31347169678618614,0.7399538897835028,2.233675415493597,2.5911666875346855,SLC7A11;ATF4,1,2,40
gs_ind_0,EFO_0004269,0.3312126850284827,0.7399538897835028,3.817220933230214,4.218008354077049,NEBL,1,1,14
gs_ind_0,EFO_0004283,0.3116992364219924,0.7399538897835028,4.123155452436195,4.8064305158651095,HMGA2,1,1,13
gs_ind_0,EFO_0004302,0.25601777050803187,0.7399538897835028,2.027138724342196,2.761993582177284,NCL;SOCS2;HMGA2,1,3,62
