prog_name	Cummulative component wise R2 scores	Cummulative enriched GWAS traits	Cummulative enriched gene-sets	Cummulative enriched Promoter Motifs
7	0.16553912985228414	233	86	63
52	0.2601677162013698	233	126	56
60	0.3388126096267773	233	58	208
57	0.4036081010269269	233	41	204
41	0.45529944680503637	233	126	8
26	0.49042934407076155	233	126	236
58	0.5230873101404938	233	122	48
49	0.5545503557426218	233	50	195
59	0.5836605817293391	233	90	98
9	0.6115621916953372	221	126	228
48	0.636796347156776	233	126	24
55	0.6592295924346796	233	94	77
36	0.678851920883626	177	126	236
4	0.6971183717583187	233	15	84
23	0.7138250459072615	233	126	126
53	0.7295105266503142	233	97	233
35	0.7444306389458516	108	126	169
30	0.7587789937913066	233	126	236
19	0.7721351828300229	233	123	175
44	0.7846148730861834	233	126	157
56	0.7964834377721677	233	126	236
22	0.8080644260636125	233	77	133
43	0.8193014240734148	233	106	151
51	0.8296989137722751	232	112	234
27	0.839500893235443	213	126	40
29	0.8489040759748671	75	126	139
28	0.8577492639366378	224	126	112
34	0.8662576019777789	233	126	230
50	0.8746341340191665	204	116	70
1	0.8827072311892936	233	103	212
47	0.8906805896107964	136	126	163
37	0.8983150465839872	230	114	91
46	0.9056061959176254	233	100	190
31	0.9125821264805299	226	120	105
54	0.9194427113074253	233	29	200
45	0.9256657686856311	233	124	185
25	0.9317593920524571	231	121	32
15	0.9377561382597366	233	125	16
32	0.9434351888767261	233	126	236
42	0.9487931407354248	229	71	216
40	0.9539041924975633	233	126	236
13	0.958688371906807	233	126	235
12	0.9634375211117451	233	118	236
2	0.9679666653947007	193	65	119
8	0.9723323698008627	158	126	145
18	0.97648877352491	42	126	236
17	0.9804140252025937	233	126	236
5	0.9841720617361019	233	115	236
3	0.9876792483089668	218	82	232
39	0.9908095704484857	233	117	220
38	0.9933654762255698	233	108	180
33	0.9952545511012452	233	119	224
20	0.9969102327979436	233	126	236
24	0.9979101300417823	228	126	236
14	0.9987844136167353	233	126	236
11	0.9994747378243183	233	126	236
16	0.9997313075354591	233	126	236
6	0.9998785963185304	233	110	236
21	0.9999485956137963	233	126	236
10	1.0	233	126	236
