target_name	program_name	stat	log2FC	pval	adj_pval
ABCC10	5	0.57549	0.57549	0.00015102	0.0090613
ABCG4	56	0.23005	0.23005	5.3652e-05	0.0032191
ABHD8	22	0.45855	0.45855	2.9076e-07	1.7446e-05
ACAD11	15	0.64903	0.64903	6.9167e-08	2.075e-06
ACAD11	30	0.59919	0.59919	4.8005e-12	2.8803e-10
ACAD11	44	0.46121	0.46121	3.3108e-06	6.6216e-05
ACTG1	31	0.63625	0.63625	9.487e-07	5.6922e-05
ANAPC5	13	0.86405	0.86405	6.1664e-15	3.6998e-13
ANKRD22	19	0.1225	0.1225	0.00017096	0.010257
ARNT	30	-0.29522	-0.29522	9.0602e-05	0.0054361
ARPC2	8	0.53658	0.53658	7.3823e-05	0.0044294
ATXN1L	53	-0.44398	-0.44398	0.00021935	0.013161
BCKDHA	16	1.5612	1.5612	4.0874e-15	2.4525e-13
BCKDHA	27	-0.66479	-0.66479	0.00012668	0.0038005
BUD13	13	0.25118	0.25118	1.1181e-06	6.7085e-05
BUD13	36	0.60021	0.60021	2.5647e-05	0.00076942
C10orf88	50	0.61997	0.61997	0.00012771	0.0076625
JHY	14	0.31755	0.31755	0.0001738	0.0095131
C11orf71	16	1.0101	1.0101	1.3875e-07	8.3248e-06
C18orf21	1	-0.88447	-0.88447	7.4785e-08	4.4871e-06
C18orf21	4	-0.61852	-0.61852	3.5442e-05	0.0010633
RTL10	25	-0.61422	-0.61422	0.00010075	0.006045
C7orf26	15	-0.90748	-0.90748	2.4755e-09	4.951e-08
C7orf26	23	0.59024	0.59024	8.0459e-05	0.00068965
C7orf26	31	0.72743	0.72743	3.4286e-05	0.00041144
C7orf26	41	-0.80047	-0.80047	3.2196e-11	1.9318e-09
C7orf26	44	-0.57312	-0.57312	0.00019225	0.0014419
C7orf26	46	0.91134	0.91134	4.659e-10	1.3977e-08
C7orf26	50	0.79066	0.79066	3.6347e-07	5.452e-06
C7orf26	9	-0.47738	-0.47738	6.0402e-05	0.00060402
C8orf58	17	0.42231	0.42231	8.4332e-05	0.0050599
CAMKK2	48	-0.59547	-0.59547	0.00014545	0.0087267
CBLL1	51	-0.41896	-0.41896	0.00012823	0.0076935
CBR4	10	0.32482	0.32482	0.00015848	0.0095086
CCDC189	36	0.63538	0.63538	5.2455e-05	0.0031473
CCDC97	4	-0.48019	-0.48019	0.00014443	0.0086658
CCM2	15	0.92593	0.92593	1.8698e-21	1.1219e-19
CCM2	28	0.5031	0.5031	1.1144e-05	0.00013373
CCM2	35	-0.48043	-0.48043	1.2032e-06	2.4063e-05
CCM2	47	-0.35532	-0.35532	1.5647e-05	0.00015647
CCM2	48	0.48709	0.48709	1.1082e-05	0.00013373
CCM2	8	0.65372	0.65372	2.5506e-10	7.6517e-09
CD99L2	13	0.54566	0.54566	0.00010144	0.0060862
CDC45	13	0.55506	0.55506	7.8695e-05	0.0047217
CDH5	15	1.1532	1.1532	5.2397e-18	3.1438e-16
CDH5	29	-1.0151	-1.0151	4.1084e-13	1.2325e-11
CDH5	37	-0.71773	-0.71773	2.9378e-07	4.4068e-06
CDH5	48	0.56789	0.56789	1.8335e-06	2.2002e-05
CDH5	8	1.097	1.097	4.6195e-11	9.239e-10
CDK4	39	0.81347	0.81347	6.8192e-05	0.0040915
CDK5	59	-0.31182	-0.31182	0.00010228	0.006137
CDKN1A	12	0.46531	0.46531	0.00017094	0.00095736
CDKN1A	23	-0.61059	-0.61059	1.0396e-08	1.5588e-07
CDKN1A	25	-0.95097	-0.95097	3.0498e-18	6.0995e-17
CDKN1A	3	1.0265	1.0265	2.0783e-18	6.0995e-17
CDKN1A	33	0.64078	0.64078	1.299e-08	1.5588e-07
CDKN1A	35	-0.48195	-0.48195	2.266e-05	0.00015107
CDKN1A	4	0.41259	0.41259	0.00017552	0.00095736
CDKN1A	40	0.61057	0.61057	2.1697e-05	0.00015107
CDKN1A	41	-0.41331	-0.41331	0.00022146	0.0011073
CDKN1A	42	1.3214	1.3214	1.1836e-20	7.1015e-19
CDKN1A	46	-0.56733	-0.56733	6.3289e-07	5.4248e-06
